timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763080028931,2182,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,2182,0,1
1763080030129,1748,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1748,0,1
1763080029329,3514,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,3514,0,1
1763080031878,2086,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,2086,0,0
1763080029531,5309,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,5309,0,0
1763080033964,1606,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1606,0,0
1763080034840,1585,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1585,0,0
1763080035570,1399,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1399,0,0
1763080036425,1041,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1041,0,0
1763080029130,8888,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,8888,0,1
1763080037466,1043,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1043,0,0
1763080030331,8654,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,8654,0,1
1763080038510,977,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,977,0,0
1763080036969,3004,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,3004,0,0
1763080030531,9973,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,9973,0,1
1763080031114,9952,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,9952,0,0
1763080040504,1109,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1109,0,0
1763080041067,1107,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1107,0,0
1763080041613,1236,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1236,0,0
1763080042174,1272,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1272,0,0
1763080042850,1141,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1140,0,0
1763080043447,1097,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1097,0,0
1763080043991,1096,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1096,0,0
1763080044544,1086,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1086,0,0
1763080045088,1080,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1080,0,0
1763080045631,1109,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1109,0,0
1763080046169,1114,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1114,0,0
1763080046741,1097,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1097,0,0
1763080047283,1105,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1105,0,0
1763080047838,1096,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1096,0,0
1763080048388,1100,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1100,0,0
1763080048934,1104,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,167,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1104,0,0
1763080049489,1087,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,167,9,9,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1087,0,0
1763080039973,11103,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,11103,0,0
1763080028731,22919,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,22919,0,2
1763080051076,1129,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1129,0,0
1763080029731,22986,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,22986,0,1
1763080052205,1098,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1098,0,0
1763080029929,23923,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,23923,0,1
1763080053303,1095,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1095,0,0
1763080053853,1109,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1109,0,0
1763080054398,1103,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,167,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1103,0,0
1763080054962,1088,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1088,0,0
1763080052717,3820,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,3820,0,0
1763080038985,18104,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,18104,0,0
1763080056538,1012,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1012,0,0
1763080057090,1008,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1008,0,0
1763080057551,1005,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1005,0,0
1763080058098,999,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,999,0,0
1763080058556,997,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,997,0,0
1763080059098,1000,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,999,0,0
1763080056051,4596,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,4596,0,0
1763080060098,1088,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1088,0,0
1763080060648,1100,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1100,0,0
1763080061187,1094,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1094,0,0
1763080061749,1092,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1091,0,0
1763080062281,1086,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1086,0,0
1763080062841,1089,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1089,0,0
1763080063367,1108,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1108,0,0
1763080063931,1116,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1116,0,0
1763080064476,1241,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,167,7,7,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1241,0,0
1763080065048,1229,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,6,6,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1229,0,0
1763080038019,28796,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,167,6,6,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,28796,0,0
1763080066278,1100,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,167,6,6,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1100,0,0
1763080066815,1119,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1119,0,0
1763080051651,16773,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,16773,0,0
1763080032843,36181,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,36181,0,0
1763080068425,1081,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1081,0,0
1763080069024,1023,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1023,0,0
1763080039487,31078,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,31078,0,0
1763080070048,1079,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1079,0,0
1763080070565,1146,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1146,0,0
1763080071128,1129,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1129,0,0
1763080071711,1124,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1124,0,0
1763080072257,1136,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1136,0,0
1763080072835,1149,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1149,0,0
1763080073393,1142,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1142,0,0
1763080073984,1122,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,167,5,5,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1122,0,0
1763080074535,1114,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1114,0,0
1763080059554,16566,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,16566,0,0
1763080075649,1005,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1005,0,0
1763080076121,990,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,990,0,0
1763080069507,8098,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,8098,0,0
1763080067935,10232,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,10232,0,0
1763080077605,1110,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1110,0,0
1763080078167,1100,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1100,0,0
1763080078715,1102,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1102,0,0
1763080079267,1098,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,167,4,4,http://localhost:7071/api/DS_httpTrigger?sensor_count=20&batch_size=30,1098,0,0
